,date,open,close,high,low,volume,code
0,2018-01-02,3314.03,3348.33,3349.05,3314.03,202278860.0,sh000001
1,2018-01-03,3347.74,3369.11,3379.92,3345.29,213836149.0,sh000001
2,2018-01-04,3371.0,3385.71,3392.83,3365.3,206955288.0,sh000001
3,2018-01-05,3386.46,3391.75,3402.07,3380.25,213060681.0,sh000001
4,2018-01-08,3391.55,3409.48,3412.73,3384.56,236165106.0,sh000001
5,2018-01-09,3406.11,3413.9,3417.23,3403.59,191488551.0,sh000001
6,2018-01-10,3414.11,3421.83,3430.21,3398.84,209094997.0,sh000001
7,2018-01-11,3415.58,3425.34,3426.48,3405.64,173812133.0,sh000001
8,2018-01-12,3423.88,3428.94,3435.42,3417.98,174063404.0,sh000001
9,2018-01-15,3428.95,3410.49,3442.5,3402.31,232009283.0,sh000001
10,2018-01-16,3403.47,3436.59,3437.58,3401.96,211475468.0,sh000001
11,2018-01-17,3438.58,3444.67,3465.2,3430.51,261045030.0,sh000001
12,2018-01-18,3449.88,3474.75,3476.55,3448.79,220039555.0,sh000001
13,2018-01-19,3481.62,3487.86,3498.43,3474.29,247536733.0,sh000001
14,2018-01-22,3476.99,3501.36,3503.39,3475.67,217487534.0,sh000001
15,2018-01-23,3504.34,3546.5,3547.22,3504.34,238705904.0,sh000001
16,2018-01-24,3553.48,3559.47,3569.49,3527.11,252954496.0,sh000001
17,2018-01-25,3555.17,3548.31,3571.48,3528.03,243413422.0,sh000001
18,2018-01-26,3535.49,3558.13,3574.9,3534.2,222698295.0,sh000001
19,2018-01-29,3563.64,3523.0,3587.03,3510.27,236026965.0,sh000001
20,2018-01-30,3511.5,3488.01,3523.05,3484.66,186369975.0,sh000001
21,2018-01-31,3470.51,3480.83,3495.45,3454.73,207253403.0,sh000001
22,2018-02-01,3478.67,3446.98,3495.09,3424.42,260504707.0,sh000001
23,2018-02-02,3419.22,3462.08,3463.16,3388.86,208120551.0,sh000001
24,2018-02-05,3411.67,3487.5,3487.72,3406.24,217673754.0,sh000001
25,2018-02-06,3418.01,3370.65,3440.12,3364.22,280555477.0,sh000001
26,2018-02-07,3412.74,3309.26,3425.54,3304.01,260939714.0,sh000001
27,2018-02-08,3281.05,3262.05,3307.16,3225.71,201262499.0,sh000001
28,2018-02-09,3172.85,3129.85,3180.11,3062.74,256389176.0,sh000001
29,2018-02-12,3128.37,3154.13,3168.13,3113.61,153310831.0,sh000001
30,2018-02-13,3176.11,3184.96,3219.22,3176.11,151527597.0,sh000001
31,2018-02-14,3188.25,3199.16,3203.5,3171.38,100322827.0,sh000001
32,2018-02-22,3237.57,3268.56,3269.92,3234.12,138730445.0,sh000001
33,2018-02-23,3275.43,3289.02,3294.13,3258.49,145790368.0,sh000001
34,2018-02-26,3307.29,3329.57,3335.99,3281.61,188568602.0,sh000001
35,2018-02-27,3328.67,3292.07,3328.67,3284.63,174219368.0,sh000001
36,2018-02-28,3264.06,3259.41,3277.83,3239.84,151043536.0,sh000001
37,2018-03-01,3235.09,3273.75,3280.15,3228.58,159098320.0,sh000001
38,2018-03-02,3248.45,3254.53,3269.94,3242.27,150861063.0,sh000001
39,2018-03-05,3255.87,3256.93,3269.4,3236.72,144835988.0,sh000001
40,2018-03-06,3266.49,3289.64,3290.25,3243.65,195358046.0,sh000001
41,2018-03-07,3288.86,3271.67,3308.41,3264.76,168665019.0,sh000001
42,2018-03-08,3268.35,3288.41,3289.5,3261.55,149827519.0,sh000001
43,2018-03-09,3291.43,3307.17,3309.72,3283.56,168424509.0,sh000001
44,2018-03-12,3319.21,3326.7,3333.56,3313.56,206532436.0,sh000001
45,2018-03-13,3324.12,3310.24,3333.88,3307.38,177114353.0,sh000001
46,2018-03-14,3298.67,3291.38,3304.98,3287.36,157491085.0,sh000001
47,2018-03-15,3277.51,3291.11,3297.1,3273.2,148573606.0,sh000001
48,2018-03-16,3290.21,3269.88,3300.57,3269.28,141203647.0,sh000001
49,2018-03-19,3264.93,3279.25,3280.57,3251.05,137954980.0,sh000001
50,2018-03-20,3257.22,3290.64,3292.57,3252.43,139881081.0,sh000001
51,2018-03-21,3299.73,3280.95,3314.21,3268.88,168398277.0,sh000001
52,2018-03-22,3281.26,3263.48,3288.8,3242.76,150432977.0,sh000001
53,2018-03-23,3172.77,3152.76,3188.24,3110.66,275532013.0,sh000001
54,2018-03-26,3117.32,3133.72,3134.28,3091.46,186366350.0,sh000001
55,2018-03-27,3164.8,3166.65,3172.78,3143.57,189073383.0,sh000001
56,2018-03-28,3130.57,3122.29,3165.21,3117.53,163500488.0,sh000001
57,2018-03-29,3127.26,3160.53,3174.51,3098.25,170312384.0,sh000001
58,2018-03-30,3161.79,3168.9,3177.72,3152.89,154646596.0,sh000001
59,2018-04-02,3169.78,3163.18,3192.34,3159.99,177727777.0,sh000001
